Time,Pressure
12:04 AM,999.53 hPa
12:09 AM,999.63 hPa
12:14 AM,999.63 hPa
12:19 AM,999.63 hPa
12:24 AM,999.63 hPa
12:29 AM,999.63 hPa
12:34 AM,999.63 hPa
12:39 AM,999.42 hPa
12:44 AM,999.22 hPa
12:49 AM,999.32 hPa
12:54 AM,999.22 hPa
12:59 AM,999.22 hPa
1:04 AM,999.22 hPa
1:09 AM,999.22 hPa
1:14 AM,999.22 hPa
1:19 AM,999.32 hPa
1:24 AM,999.22 hPa
1:29 AM,999.12 hPa
1:34 AM,999.12 hPa
1:39 AM,998.92 hPa
1:44 AM,998.82 hPa
1:49 AM,998.92 hPa
1:54 AM,998.92 hPa
1:59 AM,999.02 hPa
2:04 AM,999.02 hPa
2:09 AM,998.82 hPa
2:14 AM,998.92 hPa
2:19 AM,998.92 hPa
2:24 AM,998.82 hPa
2:29 AM,998.82 hPa
2:34 AM,998.92 hPa
2:39 AM,998.71 hPa
2:44 AM,998.71 hPa
2:49 AM,998.51 hPa
2:54 AM,998.61 hPa
2:59 AM,998.61 hPa
3:04 AM,998.71 hPa
3:09 AM,998.61 hPa
3:14 AM,998.71 hPa
3:19 AM,998.71 hPa
3:24 AM,998.61 hPa
3:29 AM,998.71 hPa
3:34 AM,998.61 hPa
3:39 AM,998.61 hPa
3:44 AM,998.71 hPa
3:49 AM,998.71 hPa
3:54 AM,998.51 hPa
3:59 AM,998.61 hPa
4:04 AM,998.61 hPa
4:09 AM,998.71 hPa
4:14 AM,998.61 hPa
4:19 AM,998.51 hPa
4:24 AM,998.44 hPa
4:29 AM,998.61 hPa
4:34 AM,998.61 hPa
4:39 AM,998.71 hPa
4:44 AM,998.61 hPa
4:49 AM,998.61 hPa
4:54 AM,998.61 hPa
4:59 AM,998.61 hPa
5:04 AM,998.71 hPa
5:09 AM,999.02 hPa
5:14 AM,998.92 hPa
5:19 AM,998.92 hPa
5:24 AM,998.92 hPa
5:29 AM,998.82 hPa
5:34 AM,998.92 hPa
5:39 AM,999.02 hPa
5:44 AM,999.02 hPa
5:49 AM,998.71 hPa
5:54 AM,998.61 hPa
5:59 AM,998.61 hPa
6:04 AM,998.82 hPa
6:09 AM,998.82 hPa
6:14 AM,999.02 hPa
6:19 AM,999.02 hPa
6:24 AM,999.02 hPa
6:29 AM,998.92 hPa
6:34 AM,998.82 hPa
6:39 AM,998.92 hPa
6:44 AM,998.92 hPa
6:49 AM,998.92 hPa
6:54 AM,998.92 hPa
6:59 AM,998.82 hPa
7:04 AM,998.92 hPa
7:09 AM,999.02 hPa
7:14 AM,998.92 hPa
7:19 AM,998.92 hPa
7:24 AM,999.12 hPa
7:29 AM,999.02 hPa
7:34 AM,998.92 hPa
7:39 AM,999.12 hPa
7:44 AM,999.12 hPa
7:49 AM,999.22 hPa
7:54 AM,999.22 hPa
7:59 AM,999.22 hPa
8:04 AM,999.12 hPa
8:09 AM,999.02 hPa
8:14 AM,999.12 hPa
8:19 AM,999.12 hPa
8:24 AM,999.12 hPa
8:29 AM,999.22 hPa
8:34 AM,999.42 hPa
8:39 AM,999.42 hPa
8:44 AM,999.32 hPa
8:49 AM,999.42 hPa
8:54 AM,999.32 hPa
8:59 AM,999.53 hPa
9:04 AM,999.42 hPa
9:09 AM,999.42 hPa
9:14 AM,999.42 hPa
9:19 AM,999.42 hPa
9:24 AM,999.53 hPa
9:29 AM,999.32 hPa
9:34 AM,999.42 hPa
9:39 AM,999.32 hPa
9:44 AM,999.32 hPa
9:49 AM,999.53 hPa
9:54 AM,999.32 hPa
9:59 AM,999.12 hPa
10:04 AM,999.12 hPa
10:09 AM,999.02 hPa
10:14 AM,999.22 hPa
10:19 AM,999.42 hPa
10:24 AM,999.32 hPa
10:29 AM,999.32 hPa
10:34 AM,999.22 hPa
10:39 AM,999.32 hPa
10:44 AM,999.53 hPa
10:49 AM,999.42 hPa
10:54 AM,999.42 hPa
10:59 AM,999.32 hPa
11:04 AM,999.42 hPa
11:09 AM,999.63 hPa
11:14 AM,999.53 hPa
11:19 AM,999.42 hPa
11:24 AM,999.42 hPa
11:29 AM,999.42 hPa
11:34 AM,999.53 hPa
11:39 AM,999.63 hPa
11:44 AM,999.53 hPa
11:49 AM,999.53 hPa
11:54 AM,999.53 hPa
11:59 AM,999.53 hPa
12:04 PM,999.53 hPa
12:09 PM,999.53 hPa
12:14 PM,999.32 hPa
12:19 PM,999.32 hPa
12:24 PM,999.32 hPa
12:29 PM,999.32 hPa
12:34 PM,999.12 hPa
12:39 PM,999.12 hPa
12:44 PM,999.12 hPa
12:49 PM,999.12 hPa
12:54 PM,999.02 hPa
12:59 PM,999.32 hPa
1:04 PM,999.02 hPa
1:09 PM,999.02 hPa
1:14 PM,999.12 hPa
1:19 PM,999.02 hPa
1:24 PM,999.12 hPa
1:29 PM,999.22 hPa
1:34 PM,999.02 hPa
1:39 PM,999.02 hPa
1:44 PM,999.02 hPa
1:49 PM,999.02 hPa
1:54 PM,999.02 hPa
1:59 PM,999.02 hPa
2:04 PM,998.92 hPa
2:09 PM,998.92 hPa
2:14 PM,998.92 hPa
2:19 PM,998.92 hPa
2:24 PM,998.82 hPa
2:29 PM,998.82 hPa
2:34 PM,998.82 hPa
2:39 PM,998.71 hPa
2:44 PM,998.82 hPa
2:49 PM,998.82 hPa
2:54 PM,998.71 hPa
2:59 PM,998.71 hPa
3:04 PM,998.92 hPa
3:09 PM,998.71 hPa
3:14 PM,998.71 hPa
3:19 PM,998.82 hPa
3:24 PM,998.61 hPa
3:29 PM,998.82 hPa
3:34 PM,998.82 hPa
3:39 PM,998.71 hPa
3:44 PM,998.71 hPa
3:49 PM,998.71 hPa
